Aplha parameter,Turning points,Turning points (theory),Turning points (3 sigma interval),Turning points - entry,Kendall,Kendall (theory),Kendall (3 sigma interval),Kendall - entry,Kolmogorov-Smirnov pvalue
0.01,669,665.3333333333334,[625.3695997740174; 705.2970668926494],True,-0.054606606606606656,0,[-0.06335624684286478; 0.06335624684286478],True,0.05361806684264658
0.05,669,665.3333333333334,[625.3695997740174; 705.2970668926494],True,-0.010258258258258324,0,[-0.06335624684286478; 0.06335624684286478],True,0.9176563733482739
0.1,667,665.3333333333334,[625.3695997740174; 705.2970668926494],True,-0.004984984984985008,0,[-0.06335624684286478; 0.06335624684286478],True,0.2206292263891445
0.3,675,665.3333333333334,[625.3695997740174; 705.2970668926494],True,-0.002806806806806783,0,[-0.06335624684286478; 0.06335624684286478],True,5.325339017718195e-06
